type,year,hs6,partner_iso3,intensity,value,yoy,peer_median,delta_vs_peer,method,peer_countries,peer_count,methodology_explanation
YoY_export_change,2023,210111,FIN,681474.0,681475.0,681474.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,680210,FIN,17041.666666666668,51128.0,17041.666666666668,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,842230,FIN,13278.91304347826,305438.0,13278.91304347826,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,030284,ROU,147325.5,883959.0,147325.5,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,844130,ROU,120608.0,723654.0,120608.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,470500,ROU,23874.0,23875.0,23874.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,120400,DNK,143565.33333333334,430699.0,143565.33333333334,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,530929,DNK,4935.450980392156,251759.0,4935.450980392156,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,020713,DNK,4837.1578947368425,91925.0,4837.1578947368425,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,950612,ITA,95737.36046511628,8233499.0,95737.36046511628,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,720610,ITA,66864.0,200595.0,66864.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,291814,ITA,28690.75,229534.0,28690.75,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,902131,BLR,79342.33333333333,238030.0,79342.33333333333,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,151620,BLR,1973.7142857142858,27646.0,1973.7142857142858,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,340600,BLR,671.0365853658536,55107.0,671.0365853658536,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,841790,GRC,69674.5,557404.0,69674.5,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,730490,GRC,12186.222222222223,109685.0,12186.222222222223,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,481730,GRC,1901.591836734694,93227.0,1901.591836734694,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,290220,HUN,64206.851851851854,3467224.0,64206.851851851854,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,310540,HUN,11242.166666666666,67459.0,11242.166666666666,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,830510,HUN,5320.272727272727,117068.0,5320.272727272727,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,481940,PAN,64058.0,64059.0,64058.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,930630,PAN,282.1651376146789,123460.0,282.1651376146789,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,848190,PAN,208.1793400286944,145798.0,208.1793400286944,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,481159,THA,63770.0,191313.0,63770.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,860721,THA,4056.4285714285716,28402.0,4056.4285714285716,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,930700,THA,2696.053811659193,601443.0,2696.053811659193,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,300213,SWE,63313.757575757576,6268161.0,63313.757575757576,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,850239,SWE,18080.333333333332,162732.0,18080.333333333332,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,680919,SWE,3117.4285714285716,43658.0,3117.4285714285716,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,960820,HND,58067.0,174204.0,58067.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,731815,HND,8889.0,8890.0,8889.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,960910,HND,8025.0,32104.0,8025.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,160249,KAZ,57147.0,114296.0,57147.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,390729,KAZ,22278.41176470588,378750.0,22278.41176470588,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,210420,KAZ,12834.6,64178.0,12834.6,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,902300,UZB,49587.333333333336,148765.0,49587.333333333336,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,841990,UZB,5736.25,68847.0,5736.25,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,851660,UZB,2523.6923076923076,65642.0,2523.6923076923076,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,330610,HKG,48442.0,96886.0,48442.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,860729,HKG,5342.333333333333,48090.0,5342.333333333333,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,481940,HKG,1252.6153846153845,16297.0,1252.6153846153845,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,800200,BEL,43479.0,43480.0,43479.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,845180,BEL,15896.472727272727,1748722.0,15896.472727272727,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,910111,BEL,8983.454545454546,296487.0,8983.454545454546,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,392410,TUN,41751.0,41752.0,41751.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,590610,TUN,7925.858585858586,784759.0,7925.858585858586,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,850710,TUN,5725.2588235294115,486732.0,5725.2588235294115,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,854141,KGZ,39380.8,196909.0,39380.8,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
YoY_export_change,2023,900410,KGZ,19744.0,19745.0,19744.0,,,yoy_export,[],0,Significant year-over-year changes in Czech export values to specific markets.
